text,sentiment
ruukki included djsi world second year running european djsi stoxx third year running,neutral
new credit suisse boss faces stiff challenge asia,negative
operating loss totalled eur mn compared loss eur mn corresponding period,negative
operating profit eur mn eur mn,neutral
russia video international group holds controlling stake russian media ventures,neutral
earnings per share eps amounted loss eur,neutral
siriusxm added net new subscribers first quarter siri ceo sales marketresearch tech entrepreneur speaker,positive
nordic exchange omx offers access approximately percent nordic baltic securities market,neutral
group business sectors building construction infrastructure construction technical building services building products,neutral
thanksto improvements demand adjustments made theutilization rates cramo fleet substantiallyimproved,positive
net profit eurm company paid dividend eur apiece,neutral
fda approves shires vyvanse bingeeating disorder,positive
micron shares pounded fears loss business apple stifel defends aapl mu marjo,negative
finnish office supplies computer accessories dealer belttongroup plc said net profit rose mln euro mln mln euro mln,positive
update berkshire applies boost wells fargo stake pct,positive
use validation rule base enables verifying processing rule bases managed different administrators fulfil set requirements,neutral
finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased second quarter eur mn eur mn corresponding period,negative
national conciliator juhani salonius met parties wednesday said far apart views propose mediation,neutral
long x,positive
number class shares remains unchanged shares,neutral
operating profit fell eur mn eur mn third quarter,negative
pipeline strong,positive
implementation project carried finnish company yit association investment fund evli property investment russia epi,neutral
extraordinary general meeting expected take place later february,neutral
rautalinko resposnible also mobility services job division continued marek hintze,neutral
operating result showed loss eur mn year showed profit eur mn,negative
adp news dec finnish construction engineering company outotec oyj omx otev said today eur million usd order expand phosphate concentrator siilinjarvi norwegian minera,positive
method smelt spouts separated working area shielding wall arranged movable relation smelt spouts,neutral
kesko car import retailing business vvauto saw sales grow pct,positive
pretax profit rose eur mn eur corresponding period,positive
coh gaining momentum nice buy signals long,positive
investors continue interested company share although quite cheap affarsvarlden said,positive
slw weekly calls x volume worth chance jmho,positive
member board numerous companies shareholder boardman ltd board specialist network,neutral
finnish vacon signed significant deals norwegian scandinavian electric systems ses supply ac drives,positive
finnish kemira group ceo lasse kurkilahti says group structural reorganisation continue least year,neutral
pm omx helsinki pct omx helsinki pct lower mln eur turnover,neutral
figure include food exports finland,neutral
also upset machinery work taken poland,neutral
operations sold include manufacturing units finland france poland turkey well sales units germany lithuania,neutral
operating income eur mn including eur mn restructuring expenses,neutral
company distributes hiab products well products,neutral
fcc chairman kevin martin said fair play required extending deregulatory rules digital subscriber lines telecom providers use broadband networks,neutral
pretax profit rose eur mn eur mn,positive
alliance aims tap pocketable mobile computers netbooks tablets mediaphones connected tvs invehicle infotainment systems,neutral
buffetts company reports percent drop q earnings,negative
tikkurila powder coatings employees four paint plants generated revenues eur usd,neutral
finnish bore owned rettig family grown recently acquisition smaller shipping companies,positive
satama trainers house remain names independent brands business areas,neutral
operating profit totaled eur mn eur mn,neutral
operating profit totalled eur mn eur mn year earlier,negative
complete name shareholder otto henrik bernhard nyberg information please contact maijaliisa friman ceo tel,neutral
emerging markets raisio chosen enter far marked relatively low per capita food consumption,neutral
camt looks like might break im,negative
commission income fell eur mn eur mn corresponding period,neutral
taking marimekko distinctly significant scale,neutral
earlier today geberit finnish rival uponor oyj cut fullyear sales growth forecast pct pct blaming tough conditions germany us well currency factors,negative
yesterday legrand issued e million fixed rate deal maturing,neutral
course direct access nokia ovi store lots fun downloading favorite media,neutral
operating result month period decreased profit eur turnover decreased eur compared,negative
cet monday shares bavarian nordic climbed dkk stock exchange copenhagen lost past month,positive
repeats sees ebita pct sales,positive
construction project scheduled start second quarter new building scheduled place end,neutral
hope clarify policies finnish businesses gray areas motlanthe said,neutral
bank leasing arm nordea liising ended year profit million euros,neutral
company board directors proposed dividend eur per share,neutral
however rapidly increasing costs strengthening euro challenging whole industry impacted results,negative
argentine agricultural export company calafate tapped compatriot firm finnegans software solution latter company said statement,neutral
delighted announce support intel based handheld platforms capabilities made development easier faster,positive
nflx tsla making kinds gains,positive
shorts altr loss,positive
operating profit totalled eur mn eur mn first half,negative
fb trend hits mid drops,negative
finland oppohjola staff union boycotting group insurance sales tasks company refused take sale insurance account determining wages,neutral
several large stocks tacked lower however,neutral
jvc stop producing dvd players brazil jvc brazil subsidiary japan jvc group announced stop production dvd players brazil,neutral
amzn trades mid upper range break yet either direction,neutral
roshan net sales million ebitda million,neutral
terms conditions stock option scheme available company internet pages,neutral
earnings per share eps amounted eur loss eur,positive
joint procurement later extended factories baltic countries,neutral
adpnews dec finnish cutlery hand tools maker fiskars oyj abp hel fisas said today make redundant total office management staff members subsidiary iittala group ltd,neutral
acquisition sum disclosed,neutral
sales tiimari segment fell yearonyear eur june,negative
finnish sampo bank danish danske bank group reports profit taxes eur mn eur mn,positive
revenue grew percent xac billion us billion,positive
shares acquired accordance section rules nasdaq omx helsinki rules applicable acquisition shares,neutral
pleased invite join mreal international conference call pm eet,neutral
fourth quarter net sales increased eur mn eur mn fourth quarter,positive
basware headquartered espoo finland,neutral
stock trading maps day map sek higher day map sek bullish indicator,positive
order plywood mill machinery equipment announced finnish raute september delivered thebault plyland france,neutral
swedish player became majority owner ucell mid,neutral
result people made redundant total persons laid temporarily,negative
aapl short term fundredemption liquidations channel cleared soon solid footing new floor come july,negative
astrazeneca teams daiichi sankyo sell movantik us,positive
nd disclosed,neutral
contract demonstrates ability apply minerals metals technologies adjacent industries oil shale processing,positive
stock hit profit warning finnish rival rautaruukki oyj omx rtrks,neutral
empresa de desarrollo urbano de quito innovaruio ecuador commissioned poyry prepare feasibility study new urban rapid mass transit system,neutral
finnish technology company raute corporation omx helsinki rutav issued tuesday september profit warning financial year,neutral
rsa shares closed p time going press,neutral
rcon upside today thing severe low float catalyst guy run,positive
je looks like bouncing would nice finish today make hammer nice volume bottom fingers crossed,positive
audio webcast available live archived cerner web site,neutral
aapl goldman sachs reiterates conviction buy apple pt spy djia gs,positive
copying republication redistribution afx news content including framing similar means expressly prohibited without prior written consent afx news,neutral
ouch looks like tsla shorts getting skinned,positive
first two project phases expected completed end,neutral
pg ackman making big added efficiency argument betting operational imporvement huge conglomerate go either way imo,positive
operating profit sales threemonth period increased respectively eur eur compared corresponding period,positive
end last week protalix biotherapeutics inc amex plx published prospectus first offering amex share capital,neutral
efore decided establish company eletric vehicle ev business china,neutral
managing director comments net sales first quarter notably lower year especially finland russia baltic countries,negative
passenger tunnel expected put operation,neutral
tata steel working stanchart uk unit sale source,positive
request finnish media company alma media newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,neutral
result started negotiations banks provisional amendments concerning covenants credit terms,neutral
activities range development natural resources retailed marketing finished products,neutral
plug closed short position small gain interested options expiring worthless,positive
apple inc iphone wo nt change game plan verizon communications inc chief executive ivan seidenberg said wednesday,neutral
production capacity increase tonnes per year raw material continue recycled paper board,positive
astrazeneca sells us drug rights perrigo mln,positive
short interest increases yet via ryandetrick spy,negative
process products orders installation separationfiltration equipment three natural gas pipeline projects china south america saudi arabia,neutral
hznp havent seen vol like since runup lets see one dip x,negative
subscriptions increase cargotec share capital euros,positive
diluted earnings per share eps stood eur versus eur,neutral
daily mail owner considering yahoo bid yhoo,positive
vessel order help aspo secure longterm competitiveness fleet terms technology pricing,positive
second quarter net sales operator business partners represented group total net sales,neutral
arcelormittal chief executive officer lakshmi mittal already cut output furnaces,negative
space blond wood floors unlike rest store notably scandinavian vibe,neutral
proposed consolidation activities impact approximately positions,neutral
consumption forecast grow,positive
update eu regulator backs approval gsk injectable asthma drug,positive
starbucks downgraded day new downgraded rewards program starts sbux,negative
warmly welcome,neutral
efore ceo reijo maihaniemi said company developed already delivered power supply units respective systems based technology chinese sector company zte corp,neutral
earnings per share quarter came eur eur quarter year earlier,positive
exports make per cent sales name glaston also reflects truly internationally operating company explains kyro president ceo mika seitovirta,neutral
ruukki romania local arm finnish metal producer ruukki increased capital euro mln cash contribution reported september,positive
global markets direct pohjola bank plc financial analysis review indepth business financial analysis pohjola bank plc,neutral
sabmiller revenue hit weaker em currencies,negative
abb deutsche bank upgraded recommendation swissswedish engineering group abb ltd buy hold,positive
czech republic profiling unit ostrava closed machinery relocated ruukki bigger plants hungary poland romania end first quarter,neutral
ackman email says supports valeant ceo pearson,positive
floor area yliopistonrinne project sq sq ft building gross area total sq total facilities let,neutral
aldata said still number operational aspects defined microsoft details product market initiatives resulting agreement available later date,neutral
nokia shares hit euros friday percent start year part slow introduction touchscreen models,negative
internal revenue service sees percent taxpayers wait last two weeks file million returns filed april,neutral
solidium picked tikkurila shares dividend book value eur per share,neutral
bank sees potential getinge share rise,positive
finnish food industry company lnnen tehtaat planning changes fish product business,neutral
quarterly diluted eps continuing operations came eur compared last year eur,positive
construction work helsinki music centre start autumn total cost project estimated million euros,neutral
nvestor soda float short lol,negative
tieto latvia represented services companies tietoenator alise tietoenator operations industries financial services cards retail logistics outsourcing managed services,neutral
citigroup inc nyse c announced global transaction services gts business awarded new mandate finlandbased pohjola bank group,positive
uponor maintains fullyear guidance,neutral
stora enso oyj said secondquarter result would fall half compared period,neutral
latin america currently accounts approximately sales tecnotree company president ceo eero mertano recently told bnamericas,neutral
asset management experts manage assets worth eur billion,neutral
tesco leads ftse higher clubcard bid reports,positive
finnair able operate leisure flights despite strike,positive
nokia share price fell less one percent euros helsinki siemens shares fell percent euros frankfurt,negative
teliasonera underlying results however included mln skr positive oneoffs hence adjusted underlying ebitda actually amounts bln skr clearly expectations analysts said,negative
finnish software hardware developer elektrobit oyj hel ebgv eb said today temporarily lay people maximum day finland aiming achieve cost savings eur million usd second half,negative
operating profit fell eur mn second quarter eur mn second quarter,negative
compensation news opinions distributions,neutral
revenue grew percent euro million us million euro million,positive
seminar memorandum understanding cooperation signed finnish kemira company vietnam national chemical corporation,positive
votorantim celulose e papel vcp part votorantim group major brazilian conglomerate,neutral
finnish company building mtyear biodiesel plant singapore,neutral
sale comprising margarine business finland poland follows approval polish competition authorities earlier october,neutral
plant go stream november estimated daily production litres bioethanol,neutral
operating profit excluding nonrecurring items amounted eur mn eur mn yearonyear,negative
group revenue amounts eur million half accounted exports,neutral
far norwegian norske skog reduced staff levels people plans reduce production tons finnishswedish stora enso cut staff people production tons,negative
lkab headquartered lulea sweden hightech mining company producing upgraded iron ore products steel industry,neutral
want credit card info personal details,neutral
upmkymmene generated thirtyone consecutive quarters positive ebitda,positive
really surprised much fb fallen thought thered support around guess,negative
operating loss totalled eur mn compared profit eur mn first half,neutral
event also viewed live audio webcast,neutral
operating profit excluding nonrecurring items eur million compared eur million,negative
maximum grade veneer yield calculated based dimensions grades veneer products well iterating places peeling axes simulating peeling process,neutral
operating margin came,neutral
ukraine act partner major bakery clients production product development,neutral
result merger largest professional electronics telecommunications technology contract manufacturing center finland formed sievi,neutral
transaction line aspo strategy expand baltic sea region eastern markets,positive
merging two free sheets clarify market situation,neutral
arena partners oy development company electronic business,neutral
cramo slipped pretax loss eur million pretax profit eur million,negative
studies expected start,neutral
net profit period million euros,neutral
finnish communication electronics components supplier scanfil oyj tuesday said sales first half lower period year ago,negative
number magazine newspaper readers remained unchanged,neutral
company net sales eur mn pretax profit eur mn,neutral
workforce reduced also amsterdam office netherlands,neutral
yvonne jones owner chameleon interiors,neutral
downloadable instruction sheet instructional video project ideas awardwinning everywhere punch tm window system found,neutral
talentum disclose three interim reports q january march friday april q april june friday july q july september friday october,neutral
parties also agreed options allow uh extensively implement later also functionalities human resources management,positive
london afx intertek group plc testing inspection company said commercial electrical division bought finlandbased company natlabs oy etteplan oyj mln eur cash,neutral
finnair believes strike cause daily net losses excess eur mn due canceled reservations passenger rerouting,neutral
nordea sees return positive growth baltic countries,positive
negotiations concern plant department producing winded roving employs people,neutral
poyry plc additional information martin kuzaj president industry business group finland tel sanna paivaniemi director investor relations poyry plc finland tel poyry global consulting engineering company dedicated balanced sustainability,neutral
binkster ers lol looking correlation aria foreign price charts poised breakout,positive
rapala vmc corporation stock exchange release october kaupthing bank oyj kapthing informed rapala vmc corporation rapala interrupted liquidity providing rapala share time,neutral
part new strategy finnish biohit planning incorporate diagnostics business separate limited company,neutral
virala oy ab allocated board directors amount eur million eur million lower maximum announced,neutral
juha jordan chief engineer glaston said one reasons choosing vacon global ac drives supplier service support centres countries glaston operates,positive
another firm air liquide exempted left market,neutral
finnair total traffic decreased terms revenue passenger kilometres,negative
reorganisation carried transferring hkscan corporation productionrelated property plant equipment finland well holdings subsidiaries associates hkscan finland oy holding company wholly owned hkscan corporation,neutral
cash flow operations januarydecember negative eur mn compared eur mn corresponding period,negative
helsinki afx cargotec said bought pct stake indital construction machinery ltd bangalorebased company makes fork lift trucks mobile cranes undisclosed sum,neutral
finnish silicon wafer technology company okmetic oyj omx helsinki okmv reported thursday october operating profit eur januaryseptember eur corresponding period,positive
dcth near hod,positive
cs cabot main consumers czech slovak market tires producers barum continental matador continental,neutral
alert new macd signal created ctxs buy time strength powered,positive
cameco typically prices sales contracts using ratio fixed prices spot prices,neutral
total service concept also includes technology services raute supports customers throughout entire life cycle investments,neutral
russia wants utilise huge forest reserves different way done far,neutral
based calendar year combined company eur bn pro forma annual revenues expected start operations employees,neutral
diluted earnings per share eps fell eur eur,negative
incap furniture presently negotiating staff cuts,neutral
aapl broke descending channelwill hold,neutral
acquisition expected improve access chrome ore resources turkey,positive
investment place atria plans expand moscow market,neutral
respondents praised finnair reliability finnishness understanding target group,positive
satama earned data management solutions competency business intelligence specialization recentlyvia acquisition fimentor oy,positive
aim ensure vacon good shape capital expenditure starts pick comments vacon plc president ceo vesa laisi,positive
objective trading shares commence may,neutral
tsla x recall big deal problem excuse guide way way lower,neutral
aspocomp said spin chinese indian units equipment salo plant finland newlyformed unit sell hong konglisted meadville,neutral
first nine months talvivaara net loss narrowed eur million eur million period,positive
subscribe magazine,neutral
janis arbidans ceo yit celtnieciba said company focusing housing real estate development market,neutral
decided auditors reimbursed according invoice,neutral
kalmar espana generated net sales mln euro mln,neutral
alexandria va oct aaron moss hampshire great britain developed ornamental design handset us patent trademark office announced,neutral
louiebeene vwap held trend line lot radars navb,positive
arm holdings plc partners international business machines corp drive,positive
finnish law parliament grants licences build nuclear power plants,neutral
operating profit excluding nonrecurring items totaled eur mn compared eur mn corresponding period,negative
enp newswire march release date total talvivaara mining company plc new shares subscribed period january february company stock option rights,neutral
cdti bounce support hs setup area important bulls lose,positive
ssh establishes new global sales marketing group led george adams adams establishes global sales marketing group drive worldwide programs supporting ssh tectia enterprise security solutions,neutral
businesses divested offer dairy edible fats readymeal icecream packaging multinational local customers,neutral
scope project find costefficient method phosphorous removal deliver storing dosing equipment used continuous operation plants,neutral
microsoft last week also issued first patch windows operating system beta released days earlier,neutral
block lamp harri koskinen light introduced bestseller ever since,positive
original patent filed finland application,neutral
compared ftse index fell points day relative price change,neutral
ruukki delivery includes steel structures including installation krakeroy bascule bridge steel piles bridge foundations,neutral
forestries also higher driven yesterday bullish analyst comment stora enso dagens industri dealers said,positive
january finnish media company alma media corporation hel alnv said today online recruitment service monster oy partner local newspaper publisher suomen lehtiyhtyma listing job advertisements,neutral
tesla motors recalls model x suvs tsla,negative
interim report first quarter published may,neutral
agricultural newspaper maaseudun tulevaisuus readers representing decrease,negative
finnish scanfil systems supplier contract manufacturer communications sector electronics industry reports net sales totalled eur mn first half eur mn first half,neutral
group net sales eur,neutral
unit clients mainly field specialist convenience goods well textile shoe furniture businesses,neutral
mr mcdonald started evening set featuring hits solo career doobie brothers years selection rb cover songs met mixed results,neutral
sarantel based wellingborough uk designs highperformance antennas portable wireless devices,neutral
philippines san miguel says partner kirin bids sabmillers,positive
high court finland fined seven local asphalt companies lion million operating cartel,negative
net profit fell almost half million million end,neutral
agn pypl pressure along market however bullish options trades morning,neutral
upm stock fell percent euro early afternoon trading helsinki,neutral
helsinki afx cramo said agreed sell cramo nederland bv cnl dutch machinery equipment rental unit jaston groep undisclosed sum,neutral
stock rose second day wednesday bringing twoday rise gbx,positive
share capital alma media corporation business id eur divided shares,neutral
port facilities throughput teus mln tons general cargo,neutral
investments disclosed,neutral
operating profit excluding nonrecurring items increased eur mn eur mn corresponding period,positive
end march company loans amounted eur mn,neutral
value order eur mn,neutral
market making accordance agreement begin september,neutral
fb popping hod,positive
pleased proud performance last year chief executive juha rantanen said statement,positive
order includes steel frame loadbearing roof structures partition wall elements rautaruukki said expects complete installation early may next year,neutral
shares subscribed stock options registered trade register january date new shares establish shareholder rights,neutral
identity buyer yet known,neutral
finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,positive
rt robbielolz nflx close looking good bulls hold positions see close keep buying,positive
contract cramo sverige subcontractor brinkab ab provide scaffolding installations lkab new pellets plant kiruna northern sweden,positive
copying republication redistribution afx news content inculding framing similar means expressly prohibited without prior written consent afx news,neutral
makes wide range mobile devices services software enable people experience music navigation video television imaging games business mobility,neutral
easyjet expects resilient demand withstand security fears,positive
rt jan arna dont think buyout rumor strong enough driving yetwhen may fly like aapl fly high,neutral
slv awful,negative
secondary antenna also used reception high power signal radar calibrate transmission channels radar,neutral
broker started upmkymmene stora enso sappi equalweight recommendations holmen norske skog underweight ratings,neutral
operating profit margin compared year earlier,neutral
markets almost completely controlled three banks nordea op bank group sampo,neutral
net profit fell almost half million million end,negative
eq bank forecasts olvi net sales eur mn second quarter operating profit eur mn,neutral
hkan dahlstrm head mobility services teliasonera forecast mobile data volume teliasonera network sweden rise eightfold tb,positive
belarus oao lidskoe pivo brewery based grodno region reported decrease output million decaliters januarymarch representative administration company told,neutral
bridge built south existing bridge spanning strait,neutral
deal significant effect acquiring company equity ratio,neutral
risk exposure nonlife insurance moving month expenses function nonlife insurance excluding expenses investment management expenses services rendered nonlife insurance investment portfolio allocation,neutral
company also featured ethibel pioneer investment register included innovest global list world sustainable corporations,positive
value multiyear agreement eur mn year,neutral
glencore cuts budget plans divest lonmin,negative
cash flow business operations totalled eur mn compared negative eur mn first half,positive
compared ftse index rose points day relative price change,positive
moment valio worried ban continues long may become quite problem,negative
zurich insurance considering offer uk rival rsa insurance,positive
buying eukor car carriers percent stake grimaldi group sole owner swedish rollon rolloff port wallhamn,neutral
destia oy finnish infrastructure construction service company building maintaining designing traffic routes industrial traffic environments also complete living environments,neutral
alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset us patent trademark office announced,neutral
also strengthen ruukki offshore business,positive
handset maker disclose financial details,neutral
plant expected start production first half,neutral
restructuring creates efficient organization increased operational focus stable profitability leads efficient production said bo annvik head specialty stainless,positive
electricity requirement networks grow new mobile generation,neutral
order intake hand expected stronger,positive
net profit three months march fell xac million us million xac million year earlier finnish company said,negative
chs expo freight major finnish fair exhibition culture logistics company provides logistics services various events land air sea,neutral
changes regarding virala oy ab ownership shares tiimari taken place,neutral
proha plc euronext announced today may fullyowned subsidiary safran software solutions agreed sell share safran north america llc sna holding investment group based norway,neutral
operating profit totalled eur mn eur mn representing net sales,positive
finnish power supply solutions systems provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,negative
long gpro brealout trade,positive
terms conditions stock option scheme available group website,neutral
net sales grew period xac million us million xac million,positive
operating margin however slipped dragged poor performance enterprise solutions,negative
trading name velta uk former uponor brand company uponor longterm partner supplying veltabranded systems particularly commercial industrial building sector uk internationally,neutral
dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two companies,neutral
electronic versions require hours copy customized client digital controls custom watermarks,neutral
contract covers supply temporary heating equipment lkab new pellet plant kiruna northern sweden,neutral
latin america currently accounts approximately sales finnish bssoss vas supplier telecoms operators tecnotree company president ceo eero mertano told bnamericas,neutral
operating profit eur mn eur mn,positive
cash flow operations totalled eur mn compared negative eur mn second quarter,positive
present position director stockmann international department stores,neutral
juniper tumbles q warning cisco also lower jnpr csco,negative
finnish rautaruukki selling precision tube automotive component processing unit carl froh germany german arques industries,neutral
forest certification voluntary system aimed promoting sustainable forest management commercial forests,neutral
products low salt fat content,neutral
update sabmiller rejects ab inbevs bln takeover approach,positive
poyry plccompany announcement december pm pursuant poyry plc stock option program new shares company subscribed since october stock options b,neutral
new units become one largest ones within company,neutral
case effect would negative finland,neutral
prices delivery volumes broadband products decreased significantly,neutral
kndi china electriccar maker china car sales also may feed tsla momentum run lately,positive
according bosse present cooperation beneficial parties however,positive
cash flow operations rose eur mn eur mn,positive
fiskars brands report net sales eur mn eur mn,positive
annual report contains financial statements consolidated financial statements report board directors auditor report,neutral
cargotec also move hallbergivarsson service installation business roof service center kalmar macgregor solutions gothenburg,neutral
company board directors would propose dividend eur per share,neutral
hand finnish sawmills production decreased even,neutral
new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operations,positive
tesco leads leap ftse marks spencer drops,positive
ssh communications security corporation headquartered helsinki finland,neutral
rising costs forced packaging producer huhtamaki axe jobs hampshire manufacturing plant,neutral
company designs manufactures markets advanced composite products industrial applications consumer goods crosscountry alpine nordic walking poles floorball sticks antenna radomes,neutral
unilever turun sinappi made sweden holds market,neutral
thus group balance sheet eur goodwill company added,neutral
vanhanen said strike would extremely damaging participants reporters begin arrive finland oneday eu summit russian president vladimir putin lahti kilometers miles north helsinki,neutral
border guard service banned mooring company carshipping ferry test travel railroadcar terminal russian port border checkpoint yet ready,negative
financing project come mainly china,neutral
purchase operations part yit strategy expand offering building system services geographically,positive
finnish government announced wednesday sold percent stake chemicals fertilizer group kemira oyj xac million us million sending company share price percent,positive
fair value company investment properties went eur bn end september eur bn year earlier,negative
upmkymmene generated seventeen consecutive quarters positive cash flow operations,positive
konecranes oyj kcrv fh fell percent euros biggest fall since june,neutral
capman said deal effect cash flow totals eur transaction would affect financial results executed fair value,neutral
vianor sells tires cars trucks well range car parts provides maintenance services,neutral
patrick jeambar also continue responsible innovation health safety environment hsea functions ahlstrom corporation,neutral
founded strand associates provides civil environmental transportation electrical mechanical engineering services employees offices wisconsin alabama illinois indiana kentucky ohio,neutral
royal mail share price rallies amid positive broker comments,positive
shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs,positive
purposes possible acquisition pkc would establish subsidiary poland,neutral
main business area glass machinery group glaston technologies global market leader glass processing machines,positive
operating profit fell eur mn eur mn second quarter,negative
lithuanian beer makers sold million liters beer rise per cent yearearlier figure million liters,positive
negotiations carried constructive manner parties tried find solution situation,positive
result company currently anticipates net sales increase operating result positive,positive
company confirmed estimate lower revenue whole yearago eur given interim report august,negative
company model based developer contracting construction projects customer focused project management,neutral
seawind en route finnish port turku stockholm got stuck ice already around pm wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short thursday,negative
operating loss amounted eur mn compared profit eur mn second quarter,neutral
finnish scanfil systems supplier contract manufacturer communications sector electronics industry reports net sales eur mn first quarter per cent smaller corresponding period,neutral
sale result capital loss eurm solidium obtained tikkurila shares march,negative
price talk midmarket swaps plus bps area leads barclays bnpp ubs cba,neutral
speaking justdrinks today spokesperson olvi said performed well four countries operate namely finland estonia latvia lithuania,positive
planned set class business center two top storeys complex,neutral
cnp sell short position cnpclosed profit,positive
commented time embrace dividend growth abbv csco wyn,positive
caixabank dos santos agree plan bpi angola exposure,positive
affecto provide new efi data warehouse reporting solution behavioural scoring system supporting operational decision processes data migration old legacy systems new efi system,neutral
need malware removal tools type url vendor choice directly browser bar use links website wrote trend micro rik ferguson monday,neutral
however growth margin slowed due financial crisis,negative
increase number shares based option rights granted management company stock option plan,neutral
share subscription period c options commence september expire march,neutral
device also used theft protection positioning vehicles boats assets,neutral
cohen steers inc shares representing share capital voting rights,neutral
fastjet slams easyjet founder stelios going public taking legal advice letter contractual,negative
total operating revenue grew yearonyear eurm,positive
companiesactelion shares hit record shire takeover talk,positive
due rapid expansion market share tallink terms passenger carriage tallinna sadam port tallinn totaled percent november percent november,positive
based strong customer interest feedback using rpm mobile phone manufacturers operators enterprises developer forums significantly increase product service quality userexperience costefficiency tulonen continues,positive
cramo plc service company specialising construction machinery equipment rental rentalrelated services well rental sale modular space,neutral
finnish electronics contract manufacturer scanfil reports net sales eur mn second quarter eur mn year earlier,negative
thus group balance sheet eur goodwill company added,neutral
total mn passenger ship journeys took place northern baltic sea slightly mn,negative
among scandinavian companies present st petersburg also named swedish concern ncc implements projects field asphalt production road housing construction project swedish krona,neutral
amzn long earnings looks good,positive
operating loss totalled eur mn profit eur mn,negative
update pricey beers lift sabmillers quarterly underlying sales,positive
operating loss pulp paper machinery unit eur mn september august compared profit eur mn year earlier,neutral
ruling sets lower limit potential fine bp,negative
major order india comptel corporation received significant longterm order mediation provisioning solutions used leading operator india,positive
citrix systems inc ctxs position increased mizuho sharestocknews,positive
finnair tallinnbased subsidiary aero carried passengers decline routes helsinki baltic capitals within southern finland,negative
also construction expenses gone russia,negative
november finnish office furniture maker martela oyj hel maras said today make redundant three people nine laid permanently company office staff factory workers,negative
local government commissioner ml kurt svensson says contact management finnish company componenta find alternatives company decision close plant ml,neutral
result share issue number company shares increases shares share capital total eur,neutral
capman six investment areas capman buyout capman technology capman life science capman russia capman public market capman real estate dedicated team funds,neutral
combined net sales million ebitda million,neutral
finlandbased stockmann group closed seven franchising sports stores nike russia,neutral
key geographical markets europe russian federation middleeast southafrica japan,neutral
januarynovember group sales totalled eur mn drop period,neutral
finnish diversified holding company aspo oyj said september sell finnish tape business kaukomarkkinat unit local oy telpak ab,neutral
phew far good bbry break coz told key support level,positive
uncommonly weak snow conditions nearly every market affected first quarter result chief executive roger talermo said,negative
tsla stock gaining steam plus notable moves week,positive
value order usd mn,neutral
combine renew contents functionality current systems funding online service well maintenance,positive
thanks wide contact network good knowledge market business environment give great contribution development indian operations tells incap president ceo juhani hanninen,positive
restructuring measures affect production packaging printing material,neutral
serial bond part plan refinance shortterm credit facility,neutral
net cash flow operating activities negative eur mn compared eur mn corresponding period,negative
leading private road ambulance service company finland,positive
idcc share total value company crunching g technology diamond rough,positive
operating loss landed eurm including oneoffs eurm excluding oneoffs,neutral
wft closng higher,positive
sales price sales gain mln euro mln recognized incap earnings,positive
adp news apr finnish business information systems developer solteq oyj hel stqv said today net loss widened eur usd first quarter eur peri,neutral
mr lee said hoped neste move pave way collaboration projects two countries,positive
sanoma corporation wants new better frequency helsinki metropolitan area,neutral
aim understand different traffic patterns based use building,neutral
newly created position established strengthen amer sports management strategic planning execution,positive
finnish airline finnair starting temporary layoffs cabin crews february,negative
atvi ooks pretty bullish shortterm perspective got good chance maybe sliding back stocks investing,positive
operating profit grain trading increased eur mn eur mn,positive
export declined percent million liters,neutral
koduextra operating retail chain stores controlled finnish nonfood center ky rukax oy scantukka oy,neutral
uranium found locally naturally occurring makes sense extract way metals,neutral
parties agreed disclose transaction value,neutral
elcoteq electronics manufacturing services ems business segment serves customers globally engineering manufacturing fulfillment services,neutral
hpq says breakup cost billions sees savings,negative
entering long lockheed martin lmt thursdays open,positive
sds picking speed may calls next week calls c,positive
business idea budget sport offer customers wide range highquality sports equipment clothing low prices company said,neutral
joint venture planning quick timetable negotiating lease potential wind farm areas charting feasibility wind farms,neutral
tallink silja attributes significant drop problems booking system taken operation october sale trailer ferry sky wind route stockholm riga passengers helsinkistockholm route,negative
profit period eur mn eur mn,negative
company share listed mid cap segment nasdaq omx helsinki,neutral
net income life insurance doubled eur mn eur mn net income nonlife insurance rose eur mn eur mn corresponding period,positive
longpos tsla breakout thru dma upper head res short squeeze progress nr term obj stop loss,positive
tsla dipping testing day,positive
cablevision systems corp cvc madison square garden division owns operates new york knickerbockers basketball team also madison square garden arena new york rangers hockey team new york liberty women basketball team hartford wolf pack hockey team,neutral
production plant based neste oil proprietary technology use flexible input vegetable oil animal fat,neutral
part eseries business promise nokia e equipped variety email solutions small stylised package said dave grannan general manager enterprise solutions nokia,neutral
ilmn piper jeffries raises pt remain long,positive
pierrules siri long,positive
ecommerce site flagship managed marimekko north america retail llc subsidiary established us last year,neutral
boomerang boats net sales eur mn made operating profit eur mn,neutral
